ref_or_group	tip_sha	candidate_commit_or_group	status	evidence	basis
refs/heads/worker/lean-B0-030-20260908;refs/remotes/origin/worker/lean-B0-030-20260908	87df35a2801426d92fe326f2c24f9289910eb9ce	87df35a2	integrated-now	4bd51f2c	shared CLI model parser
refs/heads/worker/lean-B0-061-20260908;refs/remotes/origin/worker/lean-B0-061-20260908	c56c4ab7a5123e4b7c23d640ae00650d2abf03e7	c56c4ab7	superseded-by-current-code	main CI guard implementations	commit changes classification/guard behavior; not safe to lower guards
refs/heads/worker/lean-B0-063-20260908;refs/remotes/origin/worker/lean-B0-063-20260908	a9a9024c12f72e3a67b847deee72bae1f2ed94dd	a9a9024	integrated-now	4ad005aa	unused npm version surface removed
refs/heads/worker/successor-app-20260908;refs/heads/worker/successor-gateway-20260908;refs/heads/worker/successor-runtime-hot-20260908;refs/heads/worker/successor-storage-20260908	cfca3dda77b23d4d78491b39f57ac73cea6fde2f	all successor worker refs	integrated-now;superseded-by-current-code	final main plus selected integration SHAs	worker refs are exact aliases; whole branch contains protected-path deletions
refs/heads/fix/0424-throughput-ui	138fc7d1ce0dad70229cbd9d34fc16a59ccde610	5e1d11db	patch-equivalent	9006d2c0	git patch-id
refs/heads/integrate/0426-release	c58d9a247b6dde5f2f964d3721fa1404dda8fd2a	341ae574	superseded-by-current-code	ExposeMcpEndpointInit in current mcp.rs/handler.rs	constructor complexity refactor already present with session-prompt-write evolution
refs/heads/integration/ci-repair-34209154761-20260908;refs/heads/integration/ledger-closeout-34224751563-20260908;refs/heads/repair/ci-expectation-34209154761-20260908	various	08ce02b6 and wave history	superseded-by-current-code	current source/guard history plus integrated rows	stale integration aliases; no unique refactor intent beyond rows above
refs/heads/recovery/recovery-20260909T122948Z-ea01850a264-l5-mojo-fixture;refs/heads/recovery/recovery-20260909T122948Z-ea01850a264-review-l5-mojo-fixture;refs/heads/recovery/recovery-20260909T122948Z-ea01850a264-staging-l5	various	0e74e65e	patch-equivalent/superseded-by-current-code	4e8a0378	stale recovery aliases carry the already-evolved alias cleanup
refs/heads/release-420-critical-oracle-v2	1e8b9501b9d6c61bbbad2902fbd5f4f535faf600	1e8b9501	patch-equivalent	ce399e47	git patch-id
refs/heads/release-420-runtime-decisions	44d88868261ce9325e57ac6246581096f7f52a2d	44d88868	patch-equivalent	935620da	git patch-id
refs/heads/release-420-size-splits	0ea2240fe390e084537069f9c6eab65d255c2119	5c925493	patch-equivalent	74985bd9	git patch-id
refs/heads/worker/repair-B0-041-forwarders-20260909;refs/remotes/origin/worker/repair-B0-041-forwarders-20260909	80ccb432543ec883ff1e1e250f8a6f6fb02965b3	80ccb432	integrated-now	a93ca061	wrapper re-export refactor
refs/heads/worker/repair-B0-041-forwarders-race-recovery-20260909;refs/remotes/origin/worker/repair-B0-041-forwarders-race-recovery-20260909	4a0db0e264808d5e183857bd0434c43ae759b823	4a0db0e2	integrated-now	a93ca061	duplicate wrapper re-export refactor
refs/heads/worker/repair-B0-042-lock-coordination-20260909;refs/remotes/origin/worker/repair-B0-042-lock-coordination-20260909	ece2f6bd41e543329422c92a4be99ee445d733ca	0e74e65e	superseded-by-current-code	4e8a0378	refactor ancestor only; tip also contains non-refactor repair work
refs/heads/worker/repair-B0-055-mcp-header-budget-20260909;refs/remotes/origin/worker/repair-B0-055-mcp-header-budget-20260909	1de88dc579d9d3a723d50953d61ab7922661481a	0e74e65e	superseded-by-current-code	current main security/header code	refactor ancestor is not a unique missing patch
refs/heads/worker/repair-B0-057-presidio-range-20260909;refs/remotes/origin/worker/repair-B0-057-presidio-range-20260909	d7c5351fe94b7660301251add37c1f471704c2dc	0e74e65e	superseded-by-current-code	current main Presidio validation	refactor ancestor is not a unique missing patch
